5, 0.040000
10, 0.040000
15, 0.020000
20, 0.020000
25, 0.060000
30, 0.040000
35, 0.140000
40, 0.100000
45, 0.140000
50, 0.200000
55, 0.240000
60, 0.280000
65, 0.360000
70, 0.260000
75, 0.180000
80, 0.280000
85, 0.120000
90, 0.400000
95, 0.260000
100, 0.160000
105, 0.220000
110, 0.300000
115, 0.340000
120, 0.380000
125, 0.300000
130, 0.220000
135, 0.460000
140, 0.360000
145, 0.460000
150, 0.340000
155, 0.520000
160, 0.500000
165, 0.400000
170, 0.440000
175, 0.500000
180, 0.380000
185, 0.520000
190, 0.440000
195, 0.520000
200, 0.420000
205, 0.440000
210, 0.680000
215, 0.560000
220, 0.580000
225, 0.640000
230, 0.540000
235, 0.580000
240, 0.620000
245, 0.700000
250, 0.640000
255, 0.640000
260, 0.720000
265, 0.640000
270, 0.620000
275, 0.580000
280, 0.580000
285, 0.680000
290, 0.700000
295, 0.760000
300, 0.620000
305, 0.560000
310, 0.780000
315, 0.720000
320, 0.580000
325, 0.620000
330, 0.680000
335, 0.640000
340, 0.680000
345, 0.740000
350, 0.760000
355, 0.820000
360, 0.780000
365, 0.700000
370, 0.780000
375, 0.740000
380, 0.800000
385, 0.740000
390, 0.720000
395, 0.820000
400, 0.860000
405, 0.820000
410, 0.680000
415, 0.780000
420, 0.840000
425, 0.780000
430, 0.760000
435, 0.780000
440, 0.700000
445, 0.820000
450, 0.780000
455, 0.840000
460, 0.840000
465, 0.860000
470, 0.800000
475, 0.700000
480, 0.880000
485, 0.780000
490, 0.800000
495, 0.920000
500, 0.880000